id,name,rank,supply,explorer,marketCapUsd,symbol,maxSupply,priceUsd,volumeUsd24Hr,changePercent24Hr,vwap24Hr,timestamp
aave,aave,44,15096908.25633893,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,2254443603.5797687,AAVE,0.0,149.33147670372622,104008944.57864164,-3.1510586715056723,151.10109971071867,1743733783063
algorand,algorand,56,8535611719.937347,https://algoexplorer.io/,1540096770.4092577,ALGO,10000000000.0,0.1804319152442143,50246179.23623055,0.2262622641024256,0.1763102660009111,1743733783063
aptos,aptos,34,604472162.4773237,https://explorer.aptoslabs.com/,3036171573.9697294,APT,0.0,5.022847638717572,81314282.6156492,-3.905578485789644,5.081138319926136,1743733783063
arbitrum,arbitrum,57,4617913336.0,https://arbiscan.io/token/0x912CE59144191C1204E64559FE8253a0e49E6548,1433271486.0716777,ARB,0.0,0.3103721057080656,84119862.28979014,-1.2169761003649429,0.3055241213400205,1743733783063
avalanche,avalanche,17,414932590.3611275,https://avascan.info/,7513765081.376249,AVAX,715748719.0,18.10839942660761,158501147.75654536,-2.469511805867256,18.20884657264996,1743733783063
berachain,berachain,92,107480000.0,Sin datos,647760253.0012007,BERA,0.0,6.026798036855236,123635761.0832332,-9.58068979598684,6.20480167076702,1743733783063
binance-coin,bnb,5,144006830.0,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52,85330557169.34145,BNB,144006830.0,592.5452089275309,657356042.526141,-1.628162880294082,595.310906111476,1743733783063
binaryx-new,four,75,381867255.144574,Sin datos,829706005.3515067,FORM,580000000.0,2.1727602829872965,11371099.549930625,-0.0100549939920092,0.0,1743733783063
bitcoin,bitcoin,1,19846231.0,https://blockchain.info/,1646598735231.4175,BTC,21000000.0,82967.83078013238,14107744433.548737,-0.658458012774426,82471.92050737684,1743733783063
bitcoin-bep2,bitcoin bep2,26,65207.71839618,https://explorer.binance.org/asset/BTCB-1DE,5400664667.563888,BTCB,0.0,82822.4756270612,1346011.7282522833,0.0,0.0,1743733783063
bitcoin-cash,bitcoin cash,25,19851131.25,https://blockchair.com/bitcoin-cash/blocks,5987629528.959108,BCH,21000000.0,301.6266153073321,121146470.50677532,0.070856127459055,300.05630884312467,1743733783063
